date,mean,month,quarter,name,year,bridge,ferry
2007-01-01T00:00:00,267.4454709,1,1,Can Tho,2007,0,1
2007-02-01T00:00:00,215.2525749,2,1,Can Tho,2007,0,1
2007-03-01T00:00:00,286.7107052,3,1,Can Tho,2007,0,1
2007-04-01T00:00:00,237.1510648,4,2,Can Tho,2007,0,1
2007-05-01T00:00:00,234.2509754,5,2,Can Tho,2007,0,1
2007-06-01T00:00:00,173.2563081,6,2,Can Tho,2007,0,1
2007-07-01T00:00:00,493,7,3,Can Tho,2007,0,1
2007-08-01T00:00:00,210.0570118,8,3,Can Tho,2007,0,1
2007-09-01T00:00:00,425.7378378,9,3,Can Tho,2007,0,1
2007-10-01T00:00:00,304.1640891,10,4,Can Tho,2007,0,1
2007-11-01T00:00:00,308.0433297,11,4,Can Tho,2007,0,1
2007-12-01T00:00:00,217.163904,12,4,Can Tho,2007,0,1
2008-01-01T00:00:00,212.3639949,1,1,Can Tho,2008,0,1
2008-02-01T00:00:00,297.288327,2,1,Can Tho,2008,0,1
2008-03-01T00:00:00,361.5948684,3,1,Can Tho,2008,0,1
2008-04-01T00:00:00,287.7820187,4,2,Can Tho,2008,0,1
2008-05-01T00:00:00,311.6276506,5,2,Can Tho,2008,0,1
2008-06-01T00:00:00,280.0167224,6,2,Can Tho,2008,0,1
2008-07-01T00:00:00,267.8386454,7,3,Can Tho,2008,0,1
2008-08-01T00:00:00,256.057971,8,3,Can Tho,2008,0,1
2008-09-01T00:00:00,389.7625418,9,3,Can Tho,2008,0,1
2008-10-01T00:00:00,309.0994624,10,4,Can Tho,2008,0,1
2008-11-01T00:00:00,275.1526718,11,4,Can Tho,2008,0,1
2008-12-01T00:00:00,215.0798861,12,4,Can Tho,2008,0,1
2009-01-01T00:00:00,289.382266,1,1,Can Tho,2009,0,1
2009-02-01T00:00:00,154.2818066,2,1,Can Tho,2009,0,1
2009-03-01T00:00:00,236.8281837,3,1,Can Tho,2009,0,1
2009-04-01T00:00:00,235.1748304,4,2,Can Tho,2009,0,1
2009-05-01T00:00:00,219.6593511,5,2,Can Tho,2009,0,1
2009-06-01T00:00:00,256.7401394,6,2,Can Tho,2009,0,1
2009-07-01T00:00:00,202.6263783,7,3,Can Tho,2009,0,1
2009-08-01T00:00:00,237.0196592,8,3,Can Tho,2009,0,1
2009-09-01T00:00:00,145.7445255,9,3,Can Tho,2009,0,1
2009-10-01T00:00:00,501.75,10,4,Can Tho,2009,0,1
2009-11-01T00:00:00,228.092112,11,4,Can Tho,2009,0,1
2009-12-01T00:00:00,273.9063675,12,4,Can Tho,2009,0,1
2010-01-01T00:00:00,243.5473456,1,1,Can Tho,2010,0,1
2010-02-01T00:00:00,170.5381313,2,1,Can Tho,2010,0,1
2010-03-01T00:00:00,301.1594329,3,1,Can Tho,2010,0,1
2010-04-01T00:00:00,352.8206107,4,2,Can Tho,2010,1,1
2010-05-01T00:00:00,178.7965839,5,2,Can Tho,2010,1,1
2010-06-01T00:00:00,123.1706507,6,2,Can Tho,2010,1,1
2010-07-01T00:00:00,231.6308101,7,3,Can Tho,2010,1,1
2010-08-01T00:00:00,307.2661154,8,3,Can Tho,2010,1,1
2010-09-01T00:00:00,330.8043893,9,3,Can Tho,2010,1,1
2010-10-01T00:00:00,405,10,4,Can Tho,2010,1,1
2010-11-01T00:00:00,467.0788804,11,4,Can Tho,2010,1,1
2010-12-01T00:00:00,258.5495184,12,4,Can Tho,2010,1,1
2011-01-01T00:00:00,260.3900218,1,1,Can Tho,2011,1,1
2011-02-01T00:00:00,350.2964047,2,1,Can Tho,2011,1,1
2011-03-01T00:00:00,322.8624682,3,1,Can Tho,2011,1,1
2011-04-01T00:00:00,301.7920381,4,2,Can Tho,2011,1,1
2011-05-01T00:00:00,368.755609,5,2,Can Tho,2011,1,1
2011-06-01T00:00:00,593,6,2,Can Tho,2011,1,1
2011-07-01T00:00:00,435.0822981,7,3,Can Tho,2011,1,1
2011-08-01T00:00:00,219.3209135,8,3,Can Tho,2011,1,1
2011-09-01T00:00:00,156.3575697,9,3,Can Tho,2011,1,1
2011-10-01T00:00:00,251.4212892,10,4,Can Tho,2011,1,1
2011-11-01T00:00:00,326.2115382,11,4,Can Tho,2011,1,1
2011-12-01T00:00:00,256.3014702,12,4,Can Tho,2011,1,1
2012-01-01T00:00:00,214.6264692,1,1,Can Tho,2012,1,1
2012-02-01T00:00:00,263.0298067,2,1,Can Tho,2012,1,1
2012-03-01T00:00:00,368.6783998,3,1,Can Tho,2012,1,1
2012-04-01T00:00:00,179.4421325,4,2,Can Tho,2012,1,1
2012-05-01T00:00:00,261.5177462,5,2,Can Tho,2012,1,1
2012-06-01T00:00:00,316.6241036,6,2,Can Tho,2012,1,1
2012-07-01T00:00:00,241.7270916,7,3,Can Tho,2012,1,1
2012-08-01T00:00:00,255.0477226,8,3,Can Tho,2012,1,1
2012-09-01T00:00:00,171.6956522,9,3,Can Tho,2012,1,1
2012-10-01T00:00:00,423.9268448,10,4,Can Tho,2012,1,1
2012-11-01T00:00:00,319.1815203,11,4,Can Tho,2012,1,1
2012-12-01T00:00:00,216.5899915,12,4,Can Tho,2012,1,1
2013-01-01T00:00:00,281.2274022,1,1,Can Tho,2013,1,1
2013-02-01T00:00:00,170.9677795,2,1,Can Tho,2013,1,1
2013-03-01T00:00:00,298.6893168,3,1,Can Tho,2013,1,1
2013-04-01T00:00:00,443.1889234,4,2,Can Tho,2013,1,1
2013-05-01T00:00:00,392.6749364,5,2,Can Tho,2013,1,1
2013-06-01T00:00:00,315.7185327,6,2,Can Tho,2013,1,1
2013-07-01T00:00:00,141.4852484,7,3,Can Tho,2013,1,1
2013-08-01T00:00:00,,8,3,Can Tho,2013,1,1
2013-09-01T00:00:00,307.7154368,9,3,Can Tho,2013,1,1
2013-10-01T00:00:00,334.6450415,10,4,Can Tho,2013,1,1
2013-11-01T00:00:00,332.6881134,11,4,Can Tho,2013,1,1
2013-12-01T00:00:00,333.5755694,12,4,Can Tho,2013,1,1
2014-01-01T00:00:00,314.2590184,1,1,Can Tho,2014,1,1
2014-02-01T00:00:00,359.7914758,2,1,Can Tho,2014,1,1
2014-03-01T00:00:00,279.7929592,3,1,Can Tho,2014,1,1
2014-04-01T00:00:00,268.7409191,4,2,Can Tho,2014,1,1
2014-05-01T00:00:00,239.9701018,5,2,Can Tho,2014,1,1
2014-06-01T00:00:00,264.3149038,6,2,Can Tho,2014,1,1
2014-07-01T00:00:00,226.8552795,7,3,Can Tho,2014,1,1
2014-08-01T00:00:00,313.3263783,8,3,Can Tho,2014,1,1
2014-09-01T00:00:00,315.5369866,9,3,Can Tho,2014,1,1
2014-10-01T00:00:00,430.408615,10,4,Can Tho,2014,1,1
2014-11-01T00:00:00,313.3580577,11,4,Can Tho,2014,1,1
2014-12-01T00:00:00,144.9532897,12,4,Can Tho,2014,1,1
2015-01-01T00:00:00,319.0686767,1,1,Can Tho,2015,1,1
2015-02-01T00:00:00,235.0805889,2,1,Can Tho,2015,1,1
2015-03-01T00:00:00,472.9507755,3,1,Can Tho,2015,1,1
2015-04-01T00:00:00,379.0478311,4,2,Can Tho,2015,1,1
2015-05-01T00:00:00,216.2270404,5,2,Can Tho,2015,1,1
2015-06-01T00:00:00,330.9783291,6,2,Can Tho,2015,1,1
2015-07-01T00:00:00,360.5524809,7,3,Can Tho,2015,1,1
2015-08-01T00:00:00,207.5147516,8,3,Can Tho,2015,1,1
2015-09-01T00:00:00,463.9098229,9,3,Can Tho,2015,1,1
2015-10-01T00:00:00,280.909542,10,4,Can Tho,2015,1,1
2015-11-01T00:00:00,264.0287007,11,4,Can Tho,2015,1,1
2015-12-01T00:00:00,192.9992482,12,4,Can Tho,2015,1,1
2016-01-01T00:00:00,248.4617742,1,1,Can Tho,2016,1,1
2016-02-01T00:00:00,365.3540288,2,1,Can Tho,2016,1,1
2016-03-01T00:00:00,374.9592598,3,1,Can Tho,2016,1,1
2016-04-01T00:00:00,368.215927,4,2,Can Tho,2016,1,1
2016-05-01T00:00:00,272.913486,5,2,Can Tho,2016,1,1
2016-06-01T00:00:00,300.6882952,6,2,Can Tho,2016,1,1
2016-07-01T00:00:00,263.4891304,7,3,Can Tho,2016,1,1
2016-08-01T00:00:00,405,8,3,Can Tho,2016,1,1
2016-09-01T00:00:00,60.5,9,3,Can Tho,2016,1,1
2016-10-01T00:00:00,354.2306889,10,4,Can Tho,2016,1,1
2016-11-01T00:00:00,298.8387405,11,4,Can Tho,2016,1,1
2016-12-01T00:00:00,279.8406375,12,4,Can Tho,2016,1,1
2017-01-01T00:00:00,256.648546,1,1,Can Tho,2017,1,1
2017-02-01T00:00:00,268.7583303,2,1,Can Tho,2017,1,1
