date,NO2,month,name,year,bridge,dmonth
2007-01-01T00:00:00,167,1,Can Tho,2007,0,0
2007-01-01T00:00:00,110,1,Co Chien,2007,0,0
2007-01-01T00:00:00,146,1,Ham Luong,2007,0,0
2007-01-01T00:00:00,178,1,Rach Mieu,2007,0,0
2007-01-01T00:00:00,173,1,My Thuan,2007,1,0
2007-01-01T00:00:00,149,1,Vam Cong,2007,0,0
2007-01-01T00:00:00,149,1,Cao Lanh,2007,0,0
2007-01-01T00:00:00,253,1,My Loi,2007,0,0
2007-02-01T00:00:00,114,2,Can Tho,2007,0,1
2007-02-01T00:00:00,106,2,Co Chien,2007,0,1
2007-02-01T00:00:00,133,2,Ham Luong,2007,0,1
2007-02-01T00:00:00,119,2,Rach Mieu,2007,0,1
2007-02-01T00:00:00,145,2,My Thuan,2007,1,1
2007-02-01T00:00:00,133,2,Vam Cong,2007,0,1
2007-02-01T00:00:00,154,2,Cao Lanh,2007,0,1
2007-02-01T00:00:00,139,2,My Loi,2007,0,1
2007-03-01T00:00:00,165,3,Can Tho,2007,0,2
2007-03-01T00:00:00,117,3,Co Chien,2007,0,2
2007-03-01T00:00:00,110,3,Ham Luong,2007,0,2
2007-03-01T00:00:00,147,3,Rach Mieu,2007,0,2
2007-03-01T00:00:00,157,3,My Thuan,2007,1,2
2007-03-01T00:00:00,223,3,Vam Cong,2007,0,2
2007-03-01T00:00:00,189,3,Cao Lanh,2007,0,2
2007-03-01T00:00:00,165,3,My Loi,2007,0,2
2007-04-01T00:00:00,159,4,Can Tho,2007,0,3
2007-04-01T00:00:00,124,4,Co Chien,2007,0,3
2007-04-01T00:00:00,119,4,Ham Luong,2007,0,3
2007-04-01T00:00:00,162,4,Rach Mieu,2007,0,3
2007-04-01T00:00:00,163,4,My Thuan,2007,1,3
2007-04-01T00:00:00,220,4,Vam Cong,2007,0,3
2007-04-01T00:00:00,235,4,Cao Lanh,2007,0,3
2007-04-01T00:00:00,205,4,My Loi,2007,0,3
2007-05-01T00:00:00,136,5,Can Tho,2007,0,4
2007-05-01T00:00:00,131,5,Co Chien,2007,0,4
2007-05-01T00:00:00,121,5,Ham Luong,2007,0,4
2007-05-01T00:00:00,179,5,Rach Mieu,2007,0,4
2007-05-01T00:00:00,115,5,My Thuan,2007,1,4
2007-05-01T00:00:00,106,5,Vam Cong,2007,0,4
2007-05-01T00:00:00,117,5,Cao Lanh,2007,0,4
2007-05-01T00:00:00,154,5,My Loi,2007,0,4
2007-06-01T00:00:00,141,6,Can Tho,2007,0,5
2007-06-01T00:00:00,154,6,Co Chien,2007,0,5
2007-06-01T00:00:00,146,6,Ham Luong,2007,0,5
2007-06-01T00:00:00,166,6,Rach Mieu,2007,0,5
2007-06-01T00:00:00,207,6,My Thuan,2007,1,5
2007-06-01T00:00:00,192,6,Vam Cong,2007,0,5
2007-06-01T00:00:00,193,6,Cao Lanh,2007,0,5
2007-06-01T00:00:00,214,6,My Loi,2007,0,5
2007-07-01T00:00:00,120,7,Can Tho,2007,0,6
2007-07-01T00:00:00,128,7,Co Chien,2007,0,6
2007-07-01T00:00:00,141,7,Ham Luong,2007,0,6
2007-07-01T00:00:00,158,7,Rach Mieu,2007,0,6
2007-07-01T00:00:00,134,7,My Thuan,2007,1,6
2007-07-01T00:00:00,131,7,Vam Cong,2007,0,6
2007-07-01T00:00:00,145,7,Cao Lanh,2007,0,6
2007-07-01T00:00:00,178,7,My Loi,2007,0,6
2007-08-01T00:00:00,106,8,Can Tho,2007,0,7
2007-08-01T00:00:00,133,8,Co Chien,2007,0,7
2007-08-01T00:00:00,102,8,Ham Luong,2007,0,7
2007-08-01T00:00:00,132,8,Rach Mieu,2007,0,7
2007-08-01T00:00:00,121,8,My Thuan,2007,1,7
2007-08-01T00:00:00,133,8,Vam Cong,2007,0,7
2007-08-01T00:00:00,127,8,Cao Lanh,2007,0,7
2007-08-01T00:00:00,136,8,My Loi,2007,0,7
2007-09-01T00:00:00,122,9,Can Tho,2007,0,8
2007-09-01T00:00:00,147,9,Co Chien,2007,0,8
2007-09-01T00:00:00,179,9,Ham Luong,2007,0,8
2007-09-01T00:00:00,150,9,Rach Mieu,2007,0,8
2007-09-01T00:00:00,155,9,My Thuan,2007,1,8
2007-09-01T00:00:00,143,9,Vam Cong,2007,0,8
2007-09-01T00:00:00,128,9,Cao Lanh,2007,0,8
2007-09-01T00:00:00,127,9,My Loi,2007,0,8
2007-10-01T00:00:00,144,10,Can Tho,2007,0,9
2007-10-01T00:00:00,101,10,Co Chien,2007,0,9
2007-10-01T00:00:00,111,10,Ham Luong,2007,0,9
2007-10-01T00:00:00,137,10,Rach Mieu,2007,0,9
2007-10-01T00:00:00,129,10,My Thuan,2007,1,9
2007-10-01T00:00:00,109,10,Vam Cong,2007,0,9
2007-10-01T00:00:00,73,10,Cao Lanh,2007,0,9
2007-10-01T00:00:00,209,10,My Loi,2007,0,9
2007-11-01T00:00:00,102,11,Can Tho,2007,0,10
2007-11-01T00:00:00,115,11,Co Chien,2007,0,10
2007-11-01T00:00:00,171,11,Ham Luong,2007,0,10
2007-11-01T00:00:00,162,11,Rach Mieu,2007,0,10
2007-11-01T00:00:00,163,11,My Thuan,2007,1,10
2007-11-01T00:00:00,128,11,Vam Cong,2007,0,10
2007-11-01T00:00:00,133,11,Cao Lanh,2007,0,10
2007-11-01T00:00:00,184,11,My Loi,2007,0,10
2007-12-01T00:00:00,159,12,Can Tho,2007,0,11
2007-12-01T00:00:00,146,12,Co Chien,2007,0,11
2007-12-01T00:00:00,172,12,Ham Luong,2007,0,11
2007-12-01T00:00:00,211,12,Rach Mieu,2007,0,11
2007-12-01T00:00:00,186,12,My Thuan,2007,1,11
2007-12-01T00:00:00,173,12,Vam Cong,2007,0,11
2007-12-01T00:00:00,165,12,Cao Lanh,2007,0,11
2007-12-01T00:00:00,224,12,My Loi,2007,0,11
2008-01-01T00:00:00,157,1,Can Tho,2008,0,0
2008-01-01T00:00:00,178,1,Co Chien,2008,0,0
2008-01-01T00:00:00,184,1,Ham Luong,2008,0,0
2008-01-01T00:00:00,201,1,Rach Mieu,2008,0,0
2008-01-01T00:00:00,141,1,My Thuan,2008,1,0
2008-01-01T00:00:00,176,1,Vam Cong,2008,0,0
2008-01-01T00:00:00,171,1,Cao Lanh,2008,0,0
