date,mean,month,name,year,bridge,pcr,distancepp,pp,elnino,burning,bwidth,provincelight
2007-01-01T00:00:00,456.8367347,1,Can Tho,2007,0,0.3359966056,12316.10605,1,1,0,23.1,8.677068147
2007-02-01T00:00:00,328.7142857,2,Can Tho,2007,0,0.3359966056,12316.10605,1,0,1,23.1,8.677068147
2007-03-01T00:00:00,244.1460317,3,Can Tho,2007,0,0.3359966056,12316.10605,1,0,1,23.1,8.677068147
2007-04-01T00:00:00,299.9761905,4,Can Tho,2007,0,0.3359966056,12316.10605,1,0,0,23.1,8.677068147
2007-05-01T00:00:00,158.0952381,5,Can Tho,2007,0,0.3359966056,12316.10605,1,0,0,23.1,8.677068147
2007-06-01T00:00:00,151.9285714,6,Can Tho,2007,0,0.3359966056,12316.10605,1,0,0,23.1,8.677068147
2007-07-01T00:00:00,311,7,Can Tho,2007,0,0.3359966056,12316.10605,1,0,0,23.1,8.677068147
2007-08-01T00:00:00,223,8,Can Tho,2007,0,0.3359966056,12316.10605,1,0,1,23.1,8.677068147
2007-09-01T00:00:00,301,9,Can Tho,2007,0,0.3359966056,12316.10605,1,0,1,23.1,8.677068147
2007-10-01T00:00:00,351.8857143,10,Can Tho,2007,0,0.3359966056,12316.10605,1,0,1,23.1,8.677068147
2007-11-01T00:00:00,438.0285714,11,Can Tho,2007,0,0.3359966056,12316.10605,1,0,0,23.1,8.677068147
2007-12-01T00:00:00,256.5873016,12,Can Tho,2007,0,0.3359966056,12316.10605,1,0,0,23.1,8.677068147
2008-01-01T00:00:00,197.6607143,1,Can Tho,2008,0,0.3359966056,12316.10605,1,0,0,23.1,7.600861653
2008-02-01T00:00:00,332.2857143,2,Can Tho,2008,0,0.3359966056,12316.10605,1,0,1,23.1,7.600861653
2008-03-01T00:00:00,437.375,3,Can Tho,2008,0,0.3359966056,12316.10605,1,0,1,23.1,7.600861653
2008-04-01T00:00:00,262.7959184,4,Can Tho,2008,0,0.3359966056,12316.10605,1,0,0,23.1,7.600861653
2008-05-01T00:00:00,286.5,5,Can Tho,2008,0,0.3359966056,12316.10605,1,0,0,23.1,7.600861653
2008-06-01T00:00:00,,6,Can Tho,2008,0,0.3359966056,12316.10605,1,0,0,23.1,7.600861653
2008-07-01T00:00:00,309,7,Can Tho,2008,0,0.3359966056,12316.10605,1,0,0,23.1,7.600861653
2008-08-01T00:00:00,341.6428571,8,Can Tho,2008,0,0.3359966056,12316.10605,1,0,1,23.1,7.600861653
2008-09-01T00:00:00,276.7857143,9,Can Tho,2008,0,0.3359966056,12316.10605,1,0,1,23.1,7.600861653
2008-10-01T00:00:00,411.8571429,10,Can Tho,2008,0,0.3359966056,12316.10605,1,0,1,23.1,7.600861653
2008-11-01T00:00:00,304.4285714,11,Can Tho,2008,0,0.3359966056,12316.10605,1,0,0,23.1,7.600861653
2008-12-01T00:00:00,163.1428571,12,Can Tho,2008,0,0.3359966056,12316.10605,1,0,0,23.1,7.600861653
2009-01-01T00:00:00,372.4126984,1,Can Tho,2009,0,0.3359966056,12316.10605,1,0,0,23.1,8.053290434
2009-02-01T00:00:00,234.6870748,2,Can Tho,2009,0,0.3359966056,12316.10605,1,0,1,23.1,8.053290434
2009-03-01T00:00:00,215.0666667,3,Can Tho,2009,0,0.3359966056,12316.10605,1,0,1,23.1,8.053290434
2009-04-01T00:00:00,96.77142857,4,Can Tho,2009,0,0.3359966056,12316.10605,1,0,0,23.1,8.053290434
2009-05-01T00:00:00,355.9285714,5,Can Tho,2009,0,0.3359966056,12316.10605,1,0,0,23.1,8.053290434
2009-06-01T00:00:00,408,6,Can Tho,2009,0,0.3359966056,12316.10605,1,0,0,23.1,8.053290434
2009-07-01T00:00:00,85.66666667,7,Can Tho,2009,0,0.3359966056,12316.10605,1,1,0,23.1,8.053290434
2009-08-01T00:00:00,,8,Can Tho,2009,0,0.3359966056,12316.10605,1,1,1,23.1,8.053290434
2009-09-01T00:00:00,274,9,Can Tho,2009,0,0.3359966056,12316.10605,2,1,1,23.1,8.053290434
2009-10-01T00:00:00,20,10,Can Tho,2009,0,0.3359966056,12316.10605,2,1,1,23.1,8.053290434
2009-11-01T00:00:00,302.0357143,11,Can Tho,2009,0,0.3359966056,12316.10605,2,1,0,23.1,8.053290434
2009-12-01T00:00:00,320.4540816,12,Can Tho,2009,0,0.3359966056,12316.10605,2,1,0,23.1,8.053290434
2010-01-01T00:00:00,329.9464286,1,Can Tho,2010,0,0.3359966056,12316.10605,2,1,0,23.1,10.2790466
2010-02-01T00:00:00,148.5178571,2,Can Tho,2010,0,0.3359966056,12316.10605,2,1,1,23.1,10.2790466
2010-03-01T00:00:00,379.2285714,3,Can Tho,2010,0,0.3359966056,12316.10605,2,1,1,23.1,10.2790466
2010-04-01T00:00:00,447.4081633,4,Can Tho,2010,1,0.3359966056,12316.10605,2,0,0,23.1,10.2790466
2010-05-01T00:00:00,181.8571429,5,Can Tho,2010,1,0.3359966056,12316.10605,2,0,0,23.1,10.2790466
2010-06-01T00:00:00,201.1428571,6,Can Tho,2010,1,0.3359966056,12316.10605,2,0,0,23.1,10.2790466
2010-07-01T00:00:00,777,7,Can Tho,2010,1,0.3359966056,12316.10605,2,0,0,23.1,10.2790466
2010-08-01T00:00:00,509.2619048,8,Can Tho,2010,1,0.3359966056,12316.10605,2,0,1,23.1,10.2790466
2010-09-01T00:00:00,287.4166667,9,Can Tho,2010,1,0.3359966056,12316.10605,2,0,1,23.1,10.2790466
2010-10-01T00:00:00,70,10,Can Tho,2010,1,0.3359966056,12316.10605,2,0,1,23.1,10.2790466
2010-11-01T00:00:00,363.0714286,11,Can Tho,2010,1,0.3359966056,12316.10605,2,0,0,23.1,10.2790466
2010-12-01T00:00:00,410.1346939,12,Can Tho,2010,1,0.3359966056,12316.10605,2,0,0,23.1,9.672822049
2011-01-01T00:00:00,344.0277778,1,Can Tho,2011,1,0.3359966056,12316.10605,2,0,0,23.1,9.672822049
2011-02-01T00:00:00,452.6525974,2,Can Tho,2011,1,0.3359966056,12316.10605,2,0,1,23.1,9.672822049
2011-03-01T00:00:00,432.9591837,3,Can Tho,2011,1,0.3359966056,12316.10605,2,0,1,23.1,9.672822049
2011-04-01T00:00:00,246.5555556,4,Can Tho,2011,1,0.3359966056,12316.10605,2,0,0,23.1,9.672822049
2011-05-01T00:00:00,566.2857143,5,Can Tho,2011,1,0.3359966056,12316.10605,2,0,0,23.1,9.672822049
2011-06-01T00:00:00,883.2857143,6,Can Tho,2011,1,0.3359966056,12316.10605,2,0,0,23.1,9.672822049
2011-07-01T00:00:00,431,7,Can Tho,2011,1,0.3359966056,12316.10605,2,0,0,23.1,9.672822049
2011-08-01T00:00:00,,8,Can Tho,2011,1,0.3359966056,12316.10605,2,0,1,23.1,9.672822049
2011-09-01T00:00:00,316.7142857,9,Can Tho,2011,1,0.3359966056,12316.10605,2,0,1,23.1,9.672822049
2011-10-01T00:00:00,305.9714286,10,Can Tho,2011,1,0.3359966056,12316.10605,2,0,1,23.1,9.672822049
2011-11-01T00:00:00,398.4285714,11,Can Tho,2011,1,0.3359966056,12316.10605,3,0,0,23.1,9.672822049
2011-12-01T00:00:00,288.4714286,12,Can Tho,2011,1,0.3359966056,12316.10605,3,0,0,23.1,9.672822049
2012-01-01T00:00:00,268.1428571,1,Can Tho,2012,1,0.3359966056,12316.10605,3,0,0,23.1,9.734926233
2012-02-01T00:00:00,284.1964286,2,Can Tho,2012,1,0.3359966056,12316.10605,3,0,1,23.1,9.734926233
2012-03-01T00:00:00,440.4761905,3,Can Tho,2012,1,0.3359966056,12316.10605,3,0,1,23.1,9.734926233
2012-04-01T00:00:00,385.3428571,4,Can Tho,2012,1,0.3359966056,12316.10605,3,0,0,23.1,9.734926233
2012-05-01T00:00:00,298.9642857,5,Can Tho,2012,1,0.3359966056,12316.10605,3,0,0,23.1,9.734926233
2012-06-01T00:00:00,366.047619,6,Can Tho,2012,1,0.3359966056,12316.10605,3,0,0,23.1,9.734926233
2012-07-01T00:00:00,402.9285714,7,Can Tho,2012,1,0.3359966056,12316.10605,3,0,0,23.1,9.734926233
2012-08-01T00:00:00,323.3571429,8,Can Tho,2012,1,0.3359966056,12316.10605,3,0,1,23.1,9.734926233
2012-09-01T00:00:00,259.5,9,Can Tho,2012,1,0.3359966056,12316.10605,3,0,1,23.1,9.734926233
2012-10-01T00:00:00,124,10,Can Tho,2012,1,0.3359966056,12316.10605,3,0,1,23.1,9.734926233
2012-11-01T00:00:00,174.5238095,11,Can Tho,2012,1,0.3359966056,12316.10605,3,0,0,23.1,9.734926233
2012-12-01T00:00:00,270.7571429,12,Can Tho,2012,1,0.3359966056,12316.10605,3,0,0,23.1,9.734926233
2013-01-01T00:00:00,291.5714286,1,Can Tho,2013,1,0.3359966056,12316.10605,3,0,0,23.1,11.19326849
2013-02-01T00:00:00,179.5142857,2,Can Tho,2013,1,0.3359966056,12316.10605,3,0,1,23.1,11.19326849
2013-03-01T00:00:00,501.1428571,3,Can Tho,2013,1,0.3359966056,12316.10605,3,0,1,23.1,11.19326849
2013-04-01T00:00:00,307.7142857,4,Can Tho,2013,1,0.3359966056,12316.10605,3,0,0,23.1,11.19326849
2013-05-01T00:00:00,503.7142857,5,Can Tho,2013,1,0.3359966056,12316.10605,3,0,0,23.1,11.19326849
2013-06-01T00:00:00,289,6,Can Tho,2013,1,0.3359966056,12316.10605,3,0,0,23.1,11.19326849
2013-07-01T00:00:00,162.5714286,7,Can Tho,2013,1,0.3359966056,12316.10605,3,0,0,23.1,11.19326849
2013-08-01T00:00:00,357.6857143,8,Can Tho,2013,1,0.3359966056,12316.10605,3,0,1,23.1,11.19326849
2013-09-01T00:00:00,256.0714286,9,Can Tho,2013,1,0.3359966056,12316.10605,3,0,1,23.1,11.19326849
2013-10-01T00:00:00,400.8571429,10,Can Tho,2013,1,0.3359966056,12316.10605,3,0,1,23.1,11.19326849
2013-11-01T00:00:00,474.6666667,11,Can Tho,2013,1,0.3359966056,12316.10605,3,0,0,23.1,11.19326849
2013-12-01T00:00:00,322.7857143,12,Can Tho,2013,1,0.3359966056,12316.10605,3,0,0,23.1,11.19326849
2014-01-01T00:00:00,387.7380952,1,Can Tho,2014,1,0.3359966056,12316.10605,3,0,0,23.1,10.36527299
2014-02-01T00:00:00,404.1845238,2,Can Tho,2014,1,0.3359966056,12316.10605,3,0,1,23.1,10.36527299
2014-03-01T00:00:00,251.6328866,3,Can Tho,2014,1,0.3359966056,12316.10605,3,0,1,23.1,10.36527299
