date,mean,month,name,year,bridge,pcr,distancepp,pp,elnino,burning,bwidth,provincelight,pixellight,rain,temperature,road.freight,road.passengers
2007-01-01T00:00:00,322.8163265,1,Can Tho,2007,0,0.3359966056,12316.10605,1,1,0,23.1,8.677068147,33.64705882,38,26.1,2070,47.1
2007-02-01T00:00:00,230.8261905,2,Can Tho,2007,0,0.3359966056,12316.10605,1,0,1,23.1,8.677068147,33.64705882,0,26.4,2070,47.1
2007-03-01T00:00:00,170.1174603,3,Can Tho,2007,0,0.3359966056,12316.10605,1,0,1,23.1,8.677068147,33.64705882,39,27.9,2070,47.1
2007-04-01T00:00:00,210.5952381,4,Can Tho,2007,0,0.3359966056,12316.10605,1,0,0,23.1,8.677068147,33.64705882,86,29.2,2070,47.1
2007-05-01T00:00:00,109.7619048,5,Can Tho,2007,0,0.3359966056,12316.10605,1,0,0,23.1,8.677068147,33.64705882,174,28.4,2070,47.1
2007-06-01T00:00:00,105.2857143,6,Can Tho,2007,0,0.3359966056,12316.10605,1,0,0,23.1,8.677068147,33.64705882,322,28.3,2070,47.1
2007-07-01T00:00:00,217,7,Can Tho,2007,0,0.3359966056,12316.10605,1,0,0,23.1,8.677068147,33.64705882,421,27.3,2070,47.1
2007-08-01T00:00:00,155.1428571,8,Can Tho,2007,0,0.3359966056,12316.10605,1,0,1,23.1,8.677068147,33.64705882,371,27.4,2070,47.1
2007-09-01T00:00:00,210,9,Can Tho,2007,0,0.3359966056,12316.10605,1,0,1,23.1,8.677068147,33.64705882,307,27.5,2070,47.1
2007-10-01T00:00:00,247.1142857,10,Can Tho,2007,0,0.3359966056,12316.10605,1,0,1,23.1,8.677068147,33.64705882,508,27.1,2070,47.1
2007-11-01T00:00:00,309.8,11,Can Tho,2007,0,0.3359966056,12316.10605,1,0,0,23.1,8.677068147,33.64705882,339,26.6,2070,47.1
2007-12-01T00:00:00,180.3412698,12,Can Tho,2007,0,0.3359966056,12316.10605,1,0,0,23.1,8.677068147,33.64705882,1,26.9,2070,47.1
