Day,Night,date,month,year,name,bridge
2.81E+18,2.83E+18,2007-01-01T00:00:00,1,2007,Can Tho,0
3.28E+18,2.73E+18,2007-01-01T00:00:00,1,2007,Co Chien,0
3.28E+18,2.73E+18,2007-01-01T00:00:00,1,2007,Ham Luong,0
3.28E+18,2.73E+18,2007-01-01T00:00:00,1,2007,Rach Mieu,0
2.81E+18,2.83E+18,2007-01-01T00:00:00,1,2007,My Thuan,1
2.81E+18,2.83E+18,2007-01-01T00:00:00,1,2007,Vam Cong,0
2.81E+18,2.83E+18,2007-01-01T00:00:00,1,2007,Cao Lanh,0
3.28E+18,2.73E+18,2007-01-01T00:00:00,1,2007,My Loi,0
3.15E+18,2.49E+18,2007-02-01T00:00:00,2,2007,Can Tho,0
2.57E+18,2.26E+18,2007-02-01T00:00:00,2,2007,Co Chien,0
2.57E+18,2.26E+18,2007-02-01T00:00:00,2,2007,Ham Luong,0
2.57E+18,2.26E+18,2007-02-01T00:00:00,2,2007,Rach Mieu,0
3.15E+18,2.49E+18,2007-02-01T00:00:00,2,2007,My Thuan,1
3.15E+18,2.49E+18,2007-02-01T00:00:00,2,2007,Vam Cong,0
3.15E+18,2.49E+18,2007-02-01T00:00:00,2,2007,Cao Lanh,0
2.57E+18,2.26E+18,2007-02-01T00:00:00,2,2007,My Loi,0
2.59E+18,2.27E+18,2007-03-01T00:00:00,3,2007,Can Tho,0
2.82E+18,2.20E+18,2007-03-01T00:00:00,3,2007,Co Chien,0
2.82E+18,2.20E+18,2007-03-01T00:00:00,3,2007,Ham Luong,0
2.82E+18,2.20E+18,2007-03-01T00:00:00,3,2007,Rach Mieu,0
2.59E+18,2.27E+18,2007-03-01T00:00:00,3,2007,My Thuan,1
2.59E+18,2.27E+18,2007-03-01T00:00:00,3,2007,Vam Cong,0
2.59E+18,2.27E+18,2007-03-01T00:00:00,3,2007,Cao Lanh,0
2.82E+18,2.20E+18,2007-03-01T00:00:00,3,2007,My Loi,0
,2.43E+18,2007-04-01T00:00:00,4,2007,Can Tho,0
2.27E+18,2.34E+18,2007-04-01T00:00:00,4,2007,Co Chien,0
2.27E+18,2.34E+18,2007-04-01T00:00:00,4,2007,Ham Luong,0
2.27E+18,2.34E+18,2007-04-01T00:00:00,4,2007,Rach Mieu,0
,2.43E+18,2007-04-01T00:00:00,4,2007,My Thuan,1
,2.43E+18,2007-04-01T00:00:00,4,2007,Vam Cong,0
,2.43E+18,2007-04-01T00:00:00,4,2007,Cao Lanh,0
2.27E+18,2.34E+18,2007-04-01T00:00:00,4,2007,My Loi,0
,1.87E+18,2007-05-01T00:00:00,5,2007,Can Tho,0
2.15E+18,1.90E+18,2007-05-01T00:00:00,5,2007,Co Chien,0
2.15E+18,1.90E+18,2007-05-01T00:00:00,5,2007,Ham Luong,0
2.15E+18,1.90E+18,2007-05-01T00:00:00,5,2007,Rach Mieu,0
,1.87E+18,2007-05-01T00:00:00,5,2007,My Thuan,1
,1.87E+18,2007-05-01T00:00:00,5,2007,Vam Cong,0
,1.87E+18,2007-05-01T00:00:00,5,2007,Cao Lanh,0
2.15E+18,1.90E+18,2007-05-01T00:00:00,5,2007,My Loi,0
,1.90E+18,2007-06-01T00:00:00,6,2007,Can Tho,0
1.82E+18,2.02E+18,2007-06-01T00:00:00,6,2007,Co Chien,0
1.82E+18,2.02E+18,2007-06-01T00:00:00,6,2007,Ham Luong,0
1.82E+18,2.02E+18,2007-06-01T00:00:00,6,2007,Rach Mieu,0
,1.90E+18,2007-06-01T00:00:00,6,2007,My Thuan,1
,1.90E+18,2007-06-01T00:00:00,6,2007,Vam Cong,0
,1.90E+18,2007-06-01T00:00:00,6,2007,Cao Lanh,0
1.82E+18,2.02E+18,2007-06-01T00:00:00,6,2007,My Loi,0
,1.61E+18,2007-07-01T00:00:00,7,2007,Can Tho,0
1.63E+18,1.75E+18,2007-07-01T00:00:00,7,2007,Co Chien,0
1.63E+18,1.75E+18,2007-07-01T00:00:00,7,2007,Ham Luong,0
1.63E+18,1.75E+18,2007-07-01T00:00:00,7,2007,Rach Mieu,0
,1.61E+18,2007-07-01T00:00:00,7,2007,My Thuan,1
,1.61E+18,2007-07-01T00:00:00,7,2007,Vam Cong,0
,1.61E+18,2007-07-01T00:00:00,7,2007,Cao Lanh,0
1.63E+18,1.75E+18,2007-07-01T00:00:00,7,2007,My Loi,0
,,2007-08-01T00:00:00,8,2007,Can Tho,0
1.41E+18,1.63E+18,2007-08-01T00:00:00,8,2007,Co Chien,0
1.41E+18,1.63E+18,2007-08-01T00:00:00,8,2007,Ham Luong,0
1.41E+18,1.63E+18,2007-08-01T00:00:00,8,2007,Rach Mieu,0
,,2007-08-01T00:00:00,8,2007,My Thuan,1
,,2007-08-01T00:00:00,8,2007,Vam Cong,0
,,2007-08-01T00:00:00,8,2007,Cao Lanh,0
1.41E+18,1.63E+18,2007-08-01T00:00:00,8,2007,My Loi,0
,2.77E+18,2007-09-01T00:00:00,9,2007,Can Tho,0
1.70E+18,2.82E+18,2007-09-01T00:00:00,9,2007,Co Chien,0
1.70E+18,2.82E+18,2007-09-01T00:00:00,9,2007,Ham Luong,0
1.70E+18,2.82E+18,2007-09-01T00:00:00,9,2007,Rach Mieu,0
