Day,Night,date,month,year,name,bridge
2.80918E+18,2.83494E+18,2007-01-01T00:00:00,1,2007,"Can Tho, My Thuan, Vam Cong, Cao Lanh",1
3.27768E+18,2.7313E+18,2007-01-01T00:00:00,1,2007,"Co Chien, Ham Luong, Rach Mieu, My Loi",0
3.14753E+18,2.49268E+18,2007-02-01T00:00:00,2,2007,"Can Tho, My Thuan, Vam Cong, Cao Lanh",1
2.57311E+18,2.2623E+18,2007-02-01T00:00:00,2,2007,"Co Chien, Ham Luong, Rach Mieu, My Loi",0
2.5855E+18,2.2656E+18,2007-03-01T00:00:00,3,2007,"Can Tho, My Thuan, Vam Cong, Cao Lanh",1
2.8239E+18,2.19631E+18,2007-03-01T00:00:00,3,2007,"Co Chien, Ham Luong, Rach Mieu, My Loi",0
,2.43425E+18,2007-04-01T00:00:00,4,2007,"Can Tho, My Thuan, Vam Cong, Cao Lanh",1
2.27335E+18,2.3433E+18,2007-04-01T00:00:00,4,2007,"Co Chien, Ham Luong, Rach Mieu, My Loi",0
,1.87108E+18,2007-05-01T00:00:00,5,2007,"Can Tho, My Thuan, Vam Cong, Cao Lanh",1
2.15038E+18,1.89873E+18,2007-05-01T00:00:00,5,2007,"Co Chien, Ham Luong, Rach Mieu, My Loi",0
,1.90257E+18,2007-06-01T00:00:00,6,2007,"Can Tho, My Thuan, Vam Cong, Cao Lanh",1
1.82479E+18,2.01511E+18,2007-06-01T00:00:00,6,2007,"Co Chien, Ham Luong, Rach Mieu, My Loi",0
,1.6057E+18,2007-07-01T00:00:00,7,2007,"Can Tho, My Thuan, Vam Cong, Cao Lanh",1
1.63257E+18,1.74892E+18,2007-07-01T00:00:00,7,2007,"Co Chien, Ham Luong, Rach Mieu, My Loi",0
,,2007-08-01T00:00:00,8,2007,"Can Tho, My Thuan, Vam Cong, Cao Lanh",1
1.4065E+18,1.63094E+18,2007-08-01T00:00:00,8,2007,"Co Chien, Ham Luong, Rach Mieu, My Loi",0
,2.76964E+18,2007-09-01T00:00:00,9,2007,"Can Tho, My Thuan, Vam Cong, Cao Lanh",1
1.69885E+18,2.81692E+18,2007-09-01T00:00:00,9,2007,"Co Chien, Ham Luong, Rach Mieu, My Loi",0
1.71549E+18,2.09372E+18,2007-10-01T00:00:00,10,2007,"Can Tho, My Thuan, Vam Cong, Cao Lanh",1
1.96263E+18,1.87608E+18,2007-10-01T00:00:00,10,2007,"Co Chien, Ham Luong, Rach Mieu, My Loi",0
,2.34967E+18,2007-11-01T00:00:00,11,2007,"Can Tho, My Thuan, Vam Cong, Cao Lanh",1
2.48464E+18,1.93411E+18,2007-11-01T00:00:00,11,2007,"Co Chien, Ham Luong, Rach Mieu, My Loi",0
2.30449E+18,2.25691E+18,2007-12-01T00:00:00,12,2007,"Can Tho, My Thuan, Vam Cong, Cao Lanh",1
2.27763E+18,2.1618E+18,2007-12-01T00:00:00,12,2007,"Co Chien, Ham Luong, Rach Mieu, My Loi",0
2.46949E+18,2.50869E+18,2008-01-01T00:00:00,1,2008,"Can Tho, My Thuan, Vam Cong, Cao Lanh",1
2.70567E+18,2.46451E+18,2008-01-01T00:00:00,1,2008,"Co Chien, Ham Luong, Rach Mieu, My Loi",0
3.47298E+18,2.82261E+18,2008-02-01T00:00:00,2,2008,"Can Tho, My Thuan, Vam Cong, Cao Lanh",1
,2.74011E+18,2008-02-01T00:00:00,2,2008,"Co Chien, Ham Luong, Rach Mieu, My Loi",0
,2.23708E+18,2008-03-01T00:00:00,3,2008,"Can Tho, My Thuan, Vam Cong, Cao Lanh",1
2.41691E+18,2.20054E+18,2008-03-01T00:00:00,3,2008,"Co Chien, Ham Luong, Rach Mieu, My Loi",0
,2.19352E+18,2008-04-01T00:00:00,4,2008,"Can Tho, My Thuan, Vam Cong, Cao Lanh",1
2.0922E+18,2.02076E+18,2008-04-01T00:00:00,4,2008,"Co Chien, Ham Luong, Rach Mieu, My Loi",0
,,2008-05-01T00:00:00,5,2008,"Can Tho, My Thuan, Vam Cong, Cao Lanh",1
2.03614E+18,1.94434E+18,2008-05-01T00:00:00,5,2008,"Co Chien, Ham Luong, Rach Mieu, My Loi",0
,1.67634E+18,2008-06-01T00:00:00,6,2008,"Can Tho, My Thuan, Vam Cong, Cao Lanh",1
1.75785E+18,1.79193E+18,2008-06-01T00:00:00,6,2008,"Co Chien, Ham Luong, Rach Mieu, My Loi",0
,1.61923E+18,2008-07-01T00:00:00,7,2008,"Can Tho, My Thuan, Vam Cong, Cao Lanh",1
1.61495E+18,1.71645E+18,2008-07-01T00:00:00,7,2008,"Co Chien, Ham Luong, Rach Mieu, My Loi",0
,1.7228E+18,2008-08-01T00:00:00,8,2008,"Can Tho, My Thuan, Vam Cong, Cao Lanh",1
1.56446E+18,1.46594E+18,2008-08-01T00:00:00,8,2008,"Co Chien, Ham Luong, Rach Mieu, My Loi",0
,,2008-09-01T00:00:00,9,2008,"Can Tho, My Thuan, Vam Cong, Cao Lanh",1
1.42706E+18,,2008-09-01T00:00:00,9,2008,"Co Chien, Ham Luong, Rach Mieu, My Loi",0
,,2008-10-01T00:00:00,10,2008,"Can Tho, My Thuan, Vam Cong, Cao Lanh",1
1.68246E+18,1.65652E+18,2008-10-01T00:00:00,10,2008,"Co Chien, Ham Luong, Rach Mieu, My Loi",0
,1.75391E+18,2008-11-01T00:00:00,11,2008,"Can Tho, My Thuan, Vam Cong, Cao Lanh",1
,1.79829E+18,2008-11-01T00:00:00,11,2008,"Co Chien, Ham Luong, Rach Mieu, My Loi",0
,2.19589E+18,2008-12-01T00:00:00,12,2008,"Can Tho, My Thuan, Vam Cong, Cao Lanh",1
2.35798E+18,,2008-12-01T00:00:00,12,2008,"Co Chien, Ham Luong, Rach Mieu, My Loi",0
2.65426E+18,2.64433E+18,2009-01-01T00:00:00,1,2009,"Can Tho, My Thuan, Vam Cong, Cao Lanh",1
2.54222E+18,2.52866E+18,2009-01-01T00:00:00,1,2009,"Co Chien, Ham Luong, Rach Mieu, My Loi",1
,2.43611E+18,2009-02-01T00:00:00,2,2009,"Can Tho, My Thuan, Vam Cong, Cao Lanh",1
2.08249E+18,2.05992E+18,2009-02-01T00:00:00,2,2009,"Co Chien, Ham Luong, Rach Mieu, My Loi",1
,2.20915E+18,2009-03-01T00:00:00,3,2009,"Can Tho, My Thuan, Vam Cong, Cao Lanh",1
2.09996E+18,2.01533E+18,2009-03-01T00:00:00,3,2009,"Co Chien, Ham Luong, Rach Mieu, My Loi",1
,2.22599E+18,2009-04-01T00:00:00,4,2009,"Can Tho, My Thuan, Vam Cong, Cao Lanh",1
2.29764E+18,2.26104E+18,2009-04-01T00:00:00,4,2009,"Co Chien, Ham Luong, Rach Mieu, My Loi",1
,1.97597E+18,2009-05-01T00:00:00,5,2009,"Can Tho, My Thuan, Vam Cong, Cao Lanh",1
,2.24042E+18,2009-05-01T00:00:00,5,2009,"Co Chien, Ham Luong, Rach Mieu, My Loi",1
,1.65285E+18,2009-06-01T00:00:00,6,2009,"Can Tho, My Thuan, Vam Cong, Cao Lanh",1
1.64157E+18,1.53329E+18,2009-06-01T00:00:00,6,2009,"Co Chien, Ham Luong, Rach Mieu, My Loi",1
,1.56506E+18,2009-07-01T00:00:00,7,2009,"Can Tho, My Thuan, Vam Cong, Cao Lanh",1
1.55116E+18,1.72854E+18,2009-07-01T00:00:00,7,2009,"Co Chien, Ham Luong, Rach Mieu, My Loi",1
,2.23645E+18,2009-10-01T00:00:00,10,2009,"Can Tho, My Thuan, Vam Cong, Cao Lanh",1
1.93278E+18,2.00936E+18,2009-10-01T00:00:00,10,2009,"Co Chien, Ham Luong, Rach Mieu, My Loi",1
,2.10599E+18,2009-11-01T00:00:00,11,2009,"Can Tho, My Thuan, Vam Cong, Cao Lanh",1
,1.92379E+18,2009-11-01T00:00:00,11,2009,"Co Chien, Ham Luong, Rach Mieu, My Loi",1
2.66732E+18,2.45596E+18,2009-12-01T00:00:00,12,2009,"Can Tho, My Thuan, Vam Cong, Cao Lanh",1
2.51878E+18,2.3269E+18,2009-12-01T00:00:00,12,2009,"Co Chien, Ham Luong, Rach Mieu, My Loi",1
2.42202E+18,2.56395E+18,2010-01-01T00:00:00,1,2010,"Can Tho, My Thuan, Vam Cong, Cao Lanh",1
2.37115E+18,2.41656E+18,2010-01-01T00:00:00,1,2010,"Co Chien, Ham Luong, Rach Mieu, My Loi",1
2.41317E+18,2.40923E+18,2010-02-01T00:00:00,2,2010,"Can Tho, My Thuan, Vam Cong, Cao Lanh",1
2.45964E+18,2.22376E+18,2010-02-01T00:00:00,2,2010,"Co Chien, Ham Luong, Rach Mieu, My Loi",1
2.48989E+18,2.42182E+18,2010-03-01T00:00:00,3,2010,"Can Tho, My Thuan, Vam Cong, Cao Lanh",1
2.5817E+18,2.35908E+18,2010-03-01T00:00:00,3,2010,"Co Chien, Ham Luong, Rach Mieu, My Loi",1
2.16407E+18,2.20154E+18,2010-04-01T00:00:00,4,2010,"Can Tho, My Thuan, Vam Cong, Cao Lanh",2
2.21002E+18,2.13644E+18,2010-04-01T00:00:00,4,2010,"Co Chien, Ham Luong, Rach Mieu, My Loi",2
2.4229E+18,2.01852E+18,2010-05-01T00:00:00,5,2010,"Can Tho, My Thuan, Vam Cong, Cao Lanh",2
2.25921E+18,2.03856E+18,2010-05-01T00:00:00,5,2010,"Co Chien, Ham Luong, Rach Mieu, My Loi",2
1.78047E+18,1.62926E+18,2010-06-01T00:00:00,6,2010,"Can Tho, My Thuan, Vam Cong, Cao Lanh",2
1.50189E+18,1.64748E+18,2010-06-01T00:00:00,6,2010,"Co Chien, Ham Luong, Rach Mieu, My Loi",2
,1.47461E+18,2010-07-01T00:00:00,7,2010,"Can Tho, My Thuan, Vam Cong, Cao Lanh",2
,1.59742E+18,2010-07-01T00:00:00,7,2010,"Co Chien, Ham Luong, Rach Mieu, My Loi",2
,,2010-08-01T00:00:00,8,2010,"Can Tho, My Thuan, Vam Cong, Cao Lanh",2
,1.52439E+18,2010-09-01T00:00:00,9,2010,"Co Chien, Ham Luong, Rach Mieu, My Loi",2
1.62814E+18,1.55251E+18,2010-09-01T00:00:00,9,2010,"Can Tho, My Thuan, Vam Cong, Cao Lanh",2
,2.7207E+18,2010-10-01T00:00:00,10,2010,"Co Chien, Ham Luong, Rach Mieu, My Loi",2
1.88177E+18,2.67194E+18,2010-10-01T00:00:00,10,2010,"Can Tho, My Thuan, Vam Cong, Cao Lanh",2
1.90004E+18,,2010-11-01T00:00:00,11,2010,"Co Chien, Ham Luong, Rach Mieu, My Loi",2
1.88172E+18,,2010-11-01T00:00:00,11,2010,"Can Tho, My Thuan, Vam Cong, Cao Lanh",2
,2.31895E+18,2010-12-01T00:00:00,12,2010,"Co Chien, Ham Luong, Rach Mieu, My Loi",2
,2.54563E+18,2010-12-01T00:00:00,12,2010,"Can Tho, My Thuan, Vam Cong, Cao Lanh",2
2.78244E+18,2.52669E+18,2011-01-01T00:00:00,1,2011,"Co Chien, Ham Luong, Rach Mieu, My Loi",2
2.33767E+18,2.25888E+18,2011-01-01T00:00:00,1,2011,"Can Tho, My Thuan, Vam Cong, Cao Lanh",2
3.57304E+18,2.89193E+18,2011-02-01T00:00:00,2,2011,"Co Chien, Ham Luong, Rach Mieu, My Loi",2
3.34943E+18,2.67974E+18,2011-02-01T00:00:00,2,2011,"Can Tho, My Thuan, Vam Cong, Cao Lanh",2
2.83519E+18,2.04441E+18,2011-03-01T00:00:00,3,2011,"Co Chien, Ham Luong, Rach Mieu, My Loi",2
2.63332E+18,1.95599E+18,2011-03-01T00:00:00,3,2011,"Can Tho, My Thuan, Vam Cong, Cao Lanh",2
3.10704E+18,2.40552E+18,2011-04-01T00:00:00,4,2011,"Co Chien, Ham Luong, Rach Mieu, My Loi",2
