b1_-1_-1,b1_-1_0,b1_-1_1,b1_0_-1,b1_0_0,b1_0_1,b1_1_-1,b1_1_0,b1_1_1,month,Quarter,name,year,date,bridge,ferry,pcr,pp open,year after bridge,industrialpark,light proxy,burning,distance to hcmc,elnino,elninoindex,bwidth,provincelight
164,173,141,159,167,132,162,150,148,1,1,Can Tho,2007,2007-01-01T00:00:00,0,1,0.3359966056,1,-3,2,92.14117647,0,166400,1,0.7,23.1,8.677068147
138,117,125,136,114,110,128,109,111,2,1,Can Tho,2007,2007-02-01T00:00:00,0,1,0.3359966056,1,-3,2,92.14117647,1,166400,0,0,23.1,8.677068147
207,185,175,174,165,148,156,162,132,3,1,Can Tho,2007,2007-03-01T00:00:00,0,1,0.3359966056,1,-3,2,92.14117647,1,166400,0,0,23.1,8.677068147
179,164,120,173,159,113,162,161,134,4,2,Can Tho,2007,2007-04-01T00:00:00,0,1,0.3359966056,1,-3,2,92.14117647,0,166400,0,0,23.1,8.677068147
96,119,119,99,136,130,124,140,123,5,2,Can Tho,2007,2007-05-01T00:00:00,0,1,0.3359966056,1,-3,2,92.14117647,0,166400,0,0,23.1,8.677068147
162,144,154,172,141,158,149,108,138,6,2,Can Tho,2007,2007-06-01T00:00:00,0,1,0.3359966056,1,-3,2,92.14117647,0,166400,0,0,23.1,8.677068147
128,122,96,120,120,100,127,129,97,7,3,Can Tho,2007,2007-07-01T00:00:00,0,1,0.3359966056,1,-3,2,92.14117647,0,166400,0,0,23.1,8.677068147
87,81,86,107,106,95,123,114,108,8,3,Can Tho,2007,2007-08-01T00:00:00,0,1,0.3359966056,1,-3,2,92.14117647,1,166400,0,0,23.1,8.677068147
178,136,126,171,122,127,142,113,101,9,3,Can Tho,2007,2007-09-01T00:00:00,0,1,0.3359966056,1,-3,2,92.14117647,1,166400,0,0,23.1,8.677068147
122,117,94,145,144,87,149,133,85,10,4,Can Tho,2007,2007-10-01T00:00:00,0,1,0.3359966056,1,-3,2,92.14117647,1,166400,0,0,23.1,8.677068147
122,113,109,129,102,101,134,105,105,11,4,Can Tho,2007,2007-11-01T00:00:00,0,1,0.3359966056,1,-3,2,92.14117647,0,166400,0,0,23.1,8.677068147
180,180,163,202,159,147,198,156,155,12,4,Can Tho,2007,2007-12-01T00:00:00,0,1,0.3359966056,1,-3,2,92.14117647,0,166400,0,0,23.1,8.677068147
197,156,142,193,157,152,175,150,147,1,1,Can Tho,2008,2008-01-01T00:00:00,0,1,0.3359966056,1,-2,2,93.66666666,0,166400,0,0,23.1,7.600861653
165,168,154,171,140,137,170,169,135,2,1,Can Tho,2008,2008-02-01T00:00:00,0,1,0.3359966056,1,-2,2,93.66666666,1,166400,0,0,23.1,7.600861653
242,207,190,217,195,160,188,194,165,3,1,Can Tho,2008,2008-03-01T00:00:00,0,1,0.3359966056,1,-2,2,93.66666666,1,166400,0,0,23.1,7.600861653
157,133,135,161,133,118,161,141,131,4,2,Can Tho,2008,2008-04-01T00:00:00,0,1,0.3359966056,1,-2,2,93.66666666,0,166400,0,0,23.1,7.600861653
135,119,104,142,114,109,137,105,109,5,2,Can Tho,2008,2008-05-01T00:00:00,0,1,0.3359966056,1,-2,2,93.66666666,0,166400,0,0,23.1,7.600861653
137,125,114,127,115,137,110,116,139,6,2,Can Tho,2008,2008-06-01T00:00:00,0,1,0.3359966056,1,-2,2,93.66666666,0,166400,0,0,23.1,7.600861653
114,85,70,114,85,78,125,98,110,7,3,Can Tho,2008,2008-07-01T00:00:00,0,1,0.3359966056,1,-2,2,93.66666666,0,166400,0,0,23.1,7.600861653
114,92,92,118,95,93,128,100,86,8,3,Can Tho,2008,2008-08-01T00:00:00,0,1,0.3359966056,1,-2,2,93.66666666,1,166400,0,0,23.1,7.600861653
128,130,89,135,141,87,145,140,99,9,3,Can Tho,2008,2008-09-01T00:00:00,0,1,0.3359966056,1,-2,2,93.66666666,1,166400,0,0,23.1,7.600861653
