date,mean,month,name,year,bridge,bwidth,pp open,burning,elnino,provincelight,pixellight,rain,temperature,road.freight,road.passengers
2007-01-01T00:00:00,241.0153809,1,Can Tho,2007,0,23.1,1,0,1,8.677068147,8,38,26.1,2070,47.1
2007-02-01T00:00:00,245.7368469,2,Can Tho,2007,0,23.1,1,1,0,8.677068147,8,0,26.4,2070,47.1
2007-03-01T00:00:00,246.6999969,3,Can Tho,2007,0,23.1,1,1,0,8.677068147,8,39,27.9,2070,47.1
2007-04-01T00:00:00,261.4785767,4,Can Tho,2007,0,23.1,1,0,0,8.677068147,8,86,29.2,2070,47.1
2007-05-01T00:00:00,270.2666626,5,Can Tho,2007,0,23.1,1,0,0,8.677068147,8,174,28.4,2070,47.1
2007-06-01T00:00:00,267.0874939,6,Can Tho,2007,0,23.1,1,0,0,8.677068147,8,322,28.3,2070,47.1
2007-07-01T00:00:00,,7,Can Tho,2007,0,23.1,1,0,0,8.677068147,8,421,27.3,2070,47.1
2007-08-01T00:00:00,263.4750061,8,Can Tho,2007,0,23.1,1,1,0,8.677068147,8,371,27.4,2070,47.1
2007-09-01T00:00:00,267.9333191,9,Can Tho,2007,0,23.1,1,1,0,8.677068147,8,307,27.5,2070,47.1
2007-10-01T00:00:00,255.7888947,10,Can Tho,2007,0,23.1,1,1,0,8.677068147,8,508,27.1,2070,47.1
2007-11-01T00:00:00,248.2363586,11,Can Tho,2007,0,23.1,1,0,0,8.677068147,8,339,26.6,2070,47.1
2007-12-01T00:00:00,241.4416656,12,Can Tho,2007,0,23.1,1,0,0,8.677068147,8,1,26.9,2070,47.1
2008-01-01T00:00:00,241.4285736,1,Can Tho,2008,0,23.1,1,0,0,7.600861653,7,113,26.2,2282.5,47.7
2008-02-01T00:00:00,247.9199982,2,Can Tho,2008,0,23.1,1,1,0,7.600861653,7,8,26.5,2282.5,47.7
2008-03-01T00:00:00,253.0583344,3,Can Tho,2008,0,23.1,1,1,0,7.600861653,7,0,27.3,2282.5,47.7
2008-04-01T00:00:00,270.25,4,Can Tho,2008,0,23.1,1,0,0,7.600861653,7,94,28.7,2282.5,47.7
2008-05-01T00:00:00,275.6000061,5,Can Tho,2008,0,23.1,1,0,0,7.600861653,7,272,27.9,2282.5,47.7
2008-06-01T00:00:00,273.7666626,6,Can Tho,2008,0,23.1,1,0,0,7.600861653,7,381,27.7,2282.5,47.7
2008-07-01T00:00:00,276.3166504,7,Can Tho,2008,0,23.1,1,0,0,7.600861653,7,332,27.4,2282.5,47.7
2008-08-01T00:00:00,275.4142761,8,Can Tho,2008,0,23.1,1,1,0,7.600861653,7,260,27.4,2282.5,47.7
2008-09-01T00:00:00,271.8999939,9,Can Tho,2008,0,23.1,1,1,0,7.600861653,7,429,27,2282.5,47.7
2008-10-01T00:00:00,267.4285583,10,Can Tho,2008,0,23.1,1,1,0,7.600861653,7,348,27.2,2282.5,47.7
2008-11-01T00:00:00,256,11,Can Tho,2008,0,23.1,1,0,0,7.600861653,7,270,26.7,2282.5,47.7
2008-12-01T00:00:00,246.4499969,12,Can Tho,2008,0,23.1,1,0,0,7.600861653,7,172,26.2,2282.5,47.7
2009-01-01T00:00:00,247.8000031,1,Can Tho,2009,0,23.1,1,0,0,8.053290434,2,22.7,25.1,2410.5,49.45
2009-02-01T00:00:00,239.3800049,2,Can Tho,2009,0,23.1,1,1,0,8.053290434,2,101.3,26.7,2410.5,49.45
2009-03-01T00:00:00,253.2799988,3,Can Tho,2009,0,23.1,1,1,0,8.053290434,2,2.2,28.6,2410.5,49.45
2009-04-01T00:00:00,268.9833374,4,Can Tho,2009,0,23.1,1,0,0,8.053290434,2,201.4,28.9,2410.5,49.45
2009-05-01T00:00:00,275.6199951,5,Can Tho,2009,0,23.1,1,0,0,8.053290434,2,342.4,28.3,2410.5,49.45
2009-06-01T00:00:00,268.9200134,6,Can Tho,2009,0,23.1,1,0,0,8.053290434,2,169.3,28.8,2410.5,49.45
2009-07-01T00:00:00,268.7666626,7,Can Tho,2009,0,23.1,1,0,1,8.053290434,2,413.5,27.2,2410.5,49.45
2009-08-01T00:00:00,265.2600098,8,Can Tho,2009,0,23.1,1,1,1,8.053290434,2,210.1,28.1,2410.5,49.45
2009-09-01T00:00:00,,9,Can Tho,2009,0,23.1,2,1,1,8.053290434,2,488.3,27,2410.5,49.45
2009-10-01T00:00:00,264.2999878,10,Can Tho,2009,0,23.1,2,1,1,8.053290434,2,208,27.5,2410.5,49.45
2009-11-01T00:00:00,252.7599945,11,Can Tho,2009,0,23.1,2,0,1,8.053290434,2,65.6,27.4,2410.5,49.45
