ADM1_NAME,date,mean,year,electricity.generator,oil.lamp
An Giang,2007-01-01T00:00:00,4.187752232,2007,3.1,5
An Giang,2008-01-01T00:00:00,4.248368323,2008,1.8,3
An Giang,2009-01-01T00:00:00,3.099806069,2009,1.8,3
An Giang,2010-01-01T00:00:00,6.370586299,2010,2.8,3.8
An Giang,2011-01-01T00:00:00,4.96207691,2011,2.8,3.8
An Giang,2012-01-01T00:00:00,4.533711658,2012,2,1.8
An Giang,2013-01-01T00:00:00,5.497471602,2013,2,1.8
An Giang,2014-01-01T00:00:00,6.833110789,2014,0.5,0.2
An Giang,2015-01-01T00:00:00,7.801585298,2015,0.5,0.2
An Giang,2016-01-01T00:00:00,7.191931008,2016,0.1,0.2
An Giang,2017-01-01T00:00:00,8.995724913,2017,0.1,0.2
An Giang,2018-01-01T00:00:00,9.736153656,2018,0.3,0.5
Bac Lieu,2007-01-01T00:00:00,3.240995968,2007,1.9,5.6
Bac Lieu,2008-01-01T00:00:00,2.356897746,2008,0,1.1
Bac Lieu,2009-01-01T00:00:00,2.211642198,2009,0,1.1
Bac Lieu,2010-01-01T00:00:00,4.021040118,2010,0.7,1.3
Bac Lieu,2011-01-01T00:00:00,3.821575221,2011,0.7,1.3
Bac Lieu,2012-01-01T00:00:00,4.025118119,2012,0,0.3
Bac Lieu,2013-01-01T00:00:00,4.885243773,2013,0,0.3
Bac Lieu,2014-01-01T00:00:00,6.792829613,2014,0.2,0
Bac Lieu,2015-01-01T00:00:00,7.453457528,2015,0.2,0
Bac Lieu,2016-01-01T00:00:00,6.830211494,2016,0,0
Bac Lieu,2017-01-01T00:00:00,9.474808057,2017,0,0
Bac Lieu,2018-01-01T00:00:00,10.01656849,2018,0,0
Ben Tre,2007-01-01T00:00:00,5.368729201,2007,0.4,6.7
Ben Tre,2008-01-01T00:00:00,3.878472774,2008,0,2.6
Ben Tre,2009-01-01T00:00:00,4.200494105,2009,0,2.6
Ben Tre,2010-01-01T00:00:00,5.736745326,2010,0.4,1.9
Ben Tre,2011-01-01T00:00:00,6.259682605,2011,0.4,1.9
Ben Tre,2012-01-01T00:00:00,6.434775883,2012,0.4,0.6
Ben Tre,2013-01-01T00:00:00,7.891002085,2013,0.4,0.6
Ben Tre,2014-01-01T00:00:00,9.079018357,2014,0.1,0.1
Ben Tre,2015-01-01T00:00:00,9.930493915,2015,0.1,0.1
Ben Tre,2016-01-01T00:00:00,9.830989479,2016,0,0.4
Ben Tre,2017-01-01T00:00:00,12.2590475,2017,0,0.4
Ben Tre,2018-01-01T00:00:00,13.21415623,2018,0.4,0
Ca Mau,2007-01-01T00:00:00,1.572191135,2007,4.2,11.6
Ca Mau,2008-01-01T00:00:00,1.081109297,2008,0.8,7
Ca Mau,2009-01-01T00:00:00,1.291441393,2009,0.8,7
Ca Mau,2010-01-01T00:00:00,2.503037384,2010,0.2,1.8
Ca Mau,2011-01-01T00:00:00,2.332578984,2011,0.2,1.8
Ca Mau,2012-01-01T00:00:00,2.410999216,2012,0.4,0.6
Ca Mau,2013-01-01T00:00:00,2.789977184,2013,0.4,0.6
Ca Mau,2014-01-01T00:00:00,5.236159759,2014,0,0.3
Ca Mau,2015-01-01T00:00:00,6.350068167,2015,0,0.3
Ca Mau,2016-01-01T00:00:00,5.686061708,2016,0.3,0
Ca Mau,2017-01-01T00:00:00,8.300341413,2017,0.3,0
Ca Mau,2018-01-01T00:00:00,8.662446887,2018,0.1,0
Can Tho city,2007-01-01T00:00:00,8.513879371,2007,2,4.4
Can Tho city,2008-01-01T00:00:00,7.792467415,2008,0,1.8
