date,mean,month,name,year,bridge,bwidth,pcr,pp open,burning,elnino,provincelight,,
2007-01-01T00:00:00,0.01923076808,1,Can Tho,2007,0,23.1,0.3359966056,1,0,1,8.677068147,,
2007-02-01T00:00:00,0.05736842006,2,Can Tho,2007,0,23.1,0.3359966056,1,1,0,8.677068147,,
2007-03-01T00:00:00,0.02357142791,3,Can Tho,2007,0,23.1,0.3359966056,1,1,0,8.677068147,,
2007-04-01T00:00:00,-0.1014285758,4,Can Tho,2007,0,23.1,0.3359966056,1,0,0,8.677068147,,
2007-05-01T00:00:00,0.06833333522,5,Can Tho,2007,0,23.1,0.3359966056,1,0,0,8.677068147,,
2007-06-01T00:00:00,-0.01250000112,6,Can Tho,2007,0,23.1,0.3359966056,1,0,0,8.677068147,,
2007-07-01T00:00:00,,7,Can Tho,2007,0,23.1,0.3359966056,1,0,0,8.677068147,,
2007-08-01T00:00:00,0.1025000066,8,Can Tho,2007,0,23.1,0.3359966056,1,1,0,8.677068147,,
2007-09-01T00:00:00,0.1433333308,9,Can Tho,2007,0,23.1,0.3359966056,1,1,0,8.677068147,,
2007-10-01T00:00:00,0.001111107529,10,Can Tho,2007,0,23.1,0.3359966056,1,1,0,8.677068147,,
2007-11-01T00:00:00,0.08272727579,11,Can Tho,2007,0,23.1,0.3359966056,1,0,0,8.677068147,,
2007-12-01T00:00:00,0.1083333343,12,Can Tho,2007,0,23.1,0.3359966056,1,0,0,8.677068147,,
2008-01-01T00:00:00,0.05166667327,1,Can Tho,2008,0,23.1,0.3359966056,1,0,0,7.600861653,,
2008-02-01T00:00:00,-0.01500000153,2,Can Tho,2008,0,23.1,0.3359966056,1,1,0,7.600861653,,
2008-03-01T00:00:00,0.03916666657,3,Can Tho,2008,0,23.1,0.3359966056,1,1,0,7.600861653,,
2008-04-01T00:00:00,-0.07999999821,4,Can Tho,2008,0,23.1,0.3359966056,1,0,0,7.600861653,,
2008-05-01T00:00:00,-0.009999997914,5,Can Tho,2008,0,23.1,0.3359966056,1,0,0,7.600861653,,
2008-06-01T00:00:00,0.05999999866,6,Can Tho,2008,0,23.1,0.3359966056,1,0,0,7.600861653,,
2008-07-01T00:00:00,-0.03500000015,7,Can Tho,2008,0,23.1,0.3359966056,1,0,0,7.600861653,,
2008-08-01T00:00:00,-0.09571428597,8,Can Tho,2008,0,23.1,0.3359966056,1,1,0,7.600861653,,
2008-09-01T00:00:00,0.1466666758,9,Can Tho,2008,0,23.1,0.3359966056,1,1,0,7.600861653,,
2008-10-01T00:00:00,-0.05999999866,10,Can Tho,2008,0,23.1,0.3359966056,1,1,0,7.600861653,,
2008-11-01T00:00:00,0.1400000006,11,Can Tho,2008,0,23.1,0.3359966056,1,0,0,7.600861653,,
2008-12-01T00:00:00,0.2800000012,12,Can Tho,2008,0,23.1,0.3359966056,1,0,0,7.600861653,,
2009-01-01T00:00:00,-0.05999999866,1,Can Tho,2009,0,23.1,0.3359966056,1,0,0,8.053290434,,
2009-02-01T00:00:00,0.09800000489,2,Can Tho,2009,0,23.1,0.3359966056,1,1,0,8.053290434,,
2009-03-01T00:00:00,0.02299999818,3,Can Tho,2009,0,23.1,0.3359966056,1,1,0,8.053290434,,
2009-04-01T00:00:00,0.07166666538,4,Can Tho,2009,0,23.1,0.3359966056,1,0,0,8.053290434,,
2009-05-01T00:00:00,-0.06199999899,5,Can Tho,2009,0,23.1,0.3359966056,1,0,0,8.053290434,,
2009-06-01T00:00:00,-0.1480000019,6,Can Tho,2009,0,23.1,0.3359966056,1,0,0,8.053290434,,
2009-07-01T00:00:00,-0.1800000072,7,Can Tho,2009,0,23.1,0.3359966056,1,0,1,8.053290434,,
2009-08-01T00:00:00,-0.07999999821,8,Can Tho,2009,0,23.1,0.3359966056,1,1,1,8.053290434,,
2009-09-01T00:00:00,,9,Can Tho,2009,0,23.1,0.3359966056,2,1,1,8.053290434,,
2009-10-01T00:00:00,0.1800000072,10,Can Tho,2009,0,23.1,0.3359966056,2,1,1,8.053290434,,
2009-11-01T00:00:00,0.1299999952,11,Can Tho,2009,0,23.1,0.3359966056,2,0,1,8.053290434,,
2009-12-01T00:00:00,-0.06000000238,12,Can Tho,2009,0,23.1,0.3359966056,2,0,1,8.053290434,,
2010-01-01T00:00:00,-0.011818178,1,Can Tho,2010,0,23.1,0.3359966056,2,0,1,10.2790466,,
2010-02-01T00:00:00,0.1110000014,2,Can Tho,2010,0,23.1,0.3359966056,2,1,1,10.2790466,,
2010-03-01T00:00:00,0.1512500048,3,Can Tho,2010,0,23.1,0.3359966056,2,1,1,10.2790466,,
2010-04-01T00:00:00,0.174999997,4,Can Tho,2010,1,23.1,0.3359966056,2,0,0,10.2790466,,
2010-05-01T00:00:00,-0.003000000259,5,Can Tho,2010,1,23.1,0.3359966056,2,0,0,10.2790466,,
2010-06-01T00:00:00,-0.05000000075,6,Can Tho,2010,1,23.1,0.3359966056,2,0,0,10.2790466,,
2010-07-01T00:00:00,0.06250000745,7,Can Tho,2010,1,23.1,0.3359966056,2,0,0,10.2790466,,
2010-08-01T00:00:00,0.1599999964,8,Can Tho,2010,1,23.1,0.3359966056,2,1,0,10.2790466,,
2010-09-01T00:00:00,-0.09499999881,9,Can Tho,2010,1,23.1,0.3359966056,2,1,0,10.2790466,,
2010-10-01T00:00:00,0.07999999821,10,Can Tho,2010,1,23.1,0.3359966056,2,1,0,10.2790466,,
2010-11-01T00:00:00,-0.04500000179,11,Can Tho,2010,1,23.1,0.3359966056,2,0,0,10.2790466,,
2010-12-01T00:00:00,0.06166666746,12,Can Tho,2010,1,23.1,0.3359966056,2,0,0,9.672822049,,
2011-01-01T00:00:00,0.08500000089,1,Can Tho,2011,1,23.1,0.3359966056,2,0,0,9.672822049,,
2011-02-01T00:00:00,-0.04454545677,2,Can Tho,2011,1,23.1,0.3359966056,2,1,0,9.672822049,,
2011-03-01T00:00:00,0.03400000557,3,Can Tho,2011,1,23.1,0.3359966056,2,1,0,9.672822049,,
2011-04-01T00:00:00,-0.06750000268,4,Can Tho,2011,1,23.1,0.3359966056,2,0,0,9.672822049,,
2011-05-01T00:00:00,-0.03333333135,5,Can Tho,2011,1,23.1,0.3359966056,2,0,0,9.672822049,,
