date,mean,month,quarter,name,year,bridge,Ferry
2007-01-01T00:00:00,379.1335326,1,1,Can Tho,2007,0,1
2007-02-01T00:00:00,307.3197359,2,1,Can Tho,2007,0,1
2007-03-01T00:00:00,404.3253908,3,1,Can Tho,2007,0,1
2007-04-01T00:00:00,338.3604703,4,2,Can Tho,2007,0,1
2007-05-01T00:00:00,334.0363868,5,2,Can Tho,2007,0,1
2007-06-01T00:00:00,248.1580345,6,2,Can Tho,2007,0,1
2007-07-01T00:00:00,691,7,3,Can Tho,2007,0,1
2007-08-01T00:00:00,299.593709,8,3,Can Tho,2007,0,1
2007-09-01T00:00:00,596.4121622,9,3,Can Tho,2007,0,1
2007-10-01T00:00:00,430.8832678,10,4,Can Tho,2007,0,1
2007-11-01T00:00:00,434.4825861,11,4,Can Tho,2007,0,1
2007-12-01T00:00:00,309.926972,12,4,Can Tho,2007,0,1
2008-01-01T00:00:00,302.7245971,1,1,Can Tho,2008,0,1
2008-02-01T00:00:00,421.6520356,2,1,Can Tho,2008,0,1
2008-03-01T00:00:00,507.5253623,3,1,Can Tho,2008,0,1
2008-04-01T00:00:00,408.1857203,4,2,Can Tho,2008,0,1
2008-05-01T00:00:00,442.4211196,5,2,Can Tho,2008,0,1
2008-06-01T00:00:00,398.3846154,6,2,Can Tho,2008,0,1
2008-07-01T00:00:00,380.6573705,7,3,Can Tho,2008,0,1
2008-08-01T00:00:00,361.178744,8,3,Can Tho,2008,0,1
2008-09-01T00:00:00,545.6688963,9,3,Can Tho,2008,0,1
2008-10-01T00:00:00,437.4767025,10,4,Can Tho,2008,0,1
2008-11-01T00:00:00,392.5712468,11,4,Can Tho,2008,0,1
2008-12-01T00:00:00,308.1749061,12,4,Can Tho,2008,0,1
2009-01-01T00:00:00,410.9059516,1,1,Can Tho,2009,0,1
2009-02-01T00:00:00,221.5349025,2,1,Can Tho,2009,0,1
2009-03-01T00:00:00,336.7407534,3,1,Can Tho,2009,0,1
2009-04-01T00:00:00,333.5760632,4,2,Can Tho,2009,0,1
2009-05-01T00:00:00,313.4187871,5,2,Can Tho,2009,0,1
2009-06-01T00:00:00,363.5758964,6,2,Can Tho,2009,0,1
2009-07-01T00:00:00,289.7340967,7,3,Can Tho,2009,0,1
2009-08-01T00:00:00,335.4993447,8,3,Can Tho,2009,0,1
2009-09-01T00:00:00,210.540146,9,3,Can Tho,2009,0,1
2009-10-01T00:00:00,697,10,4,Can Tho,2009,0,1
2009-11-01T00:00:00,325.6241094,11,4,Can Tho,2009,0,1
2009-12-01T00:00:00,387.5604565,12,4,Can Tho,2009,0,1
2010-01-01T00:00:00,345.8639805,1,1,Can Tho,2010,0,1
2010-02-01T00:00:00,243.4806327,2,1,Can Tho,2010,0,1
2010-03-01T00:00:00,425.2606325,3,1,Can Tho,2010,0,1
2010-04-01T00:00:00,494.4358779,4,2,Can Tho,2010,1,1
2010-05-01T00:00:00,255.6028727,5,2,Can Tho,2010,1,1
2010-06-01T00:00:00,175.2888446,6,2,Can Tho,2010,1,1
2010-07-01T00:00:00,330.1752988,7,3,Can Tho,2010,1,1
2010-08-01T00:00:00,436.4200594,8,3,Can Tho,2010,1,1
2010-09-01T00:00:00,467.2335666,9,3,Can Tho,2010,1,1
2010-10-01T00:00:00,567,10,4,Can Tho,2010,1,1
2010-11-01T00:00:00,647.7913486,11,4,Can Tho,2010,1,1
2010-12-01T00:00:00,366.9339967,12,4,Can Tho,2010,1,1
2011-01-01T00:00:00,370.1653883,1,1,Can Tho,2011,1,1
2011-02-01T00:00:00,492.5313485,2,1,Can Tho,2011,1,1
2011-03-01T00:00:00,455.0066582,3,1,Can Tho,2011,1,1
2011-04-01T00:00:00,425.0063875,4,2,Can Tho,2011,1,1
2011-05-01T00:00:00,519.0104167,5,2,Can Tho,2011,1,1
2011-06-01T00:00:00,816,6,2,Can Tho,2011,1,1
2011-07-01T00:00:00,604.3431677,7,3,Can Tho,2011,1,1
2011-08-01T00:00:00,312.8778846,8,3,Can Tho,2011,1,1
2011-09-01T00:00:00,225.564741,9,3,Can Tho,2011,1,1
2011-10-01T00:00:00,357.2821671,10,4,Can Tho,2011,1,1
2011-11-01T00:00:00,461.7798467,11,4,Can Tho,2011,1,1
2011-12-01T00:00:00,364.9672321,12,4,Can Tho,2011,1,1
2012-01-01T00:00:00,305.1666364,1,1,Can Tho,2012,1,1
2012-02-01T00:00:00,373.0939934,2,1,Can Tho,2012,1,1
2012-03-01T00:00:00,516.6829234,3,1,Can Tho,2012,1,1
2012-04-01T00:00:00,257.8197205,4,2,Can Tho,2012,1,1
2012-05-01T00:00:00,371.3821355,5,2,Can Tho,2012,1,1
2012-06-01T00:00:00,447.3494024,6,2,Can Tho,2012,1,1
2012-07-01T00:00:00,344.3007968,7,3,Can Tho,2012,1,1
2012-08-01T00:00:00,362.910559,8,3,Can Tho,2012,1,1
2012-09-01T00:00:00,244.7324415,9,3,Can Tho,2012,1,1
2012-10-01T00:00:00,594.9459288,10,4,Can Tho,2012,1,1
2012-11-01T00:00:00,451.6782438,11,4,Can Tho,2012,1,1
2012-12-01T00:00:00,308.0448579,12,4,Can Tho,2012,1,1
2013-01-01T00:00:00,397.0574821,1,1,Can Tho,2013,1,1
2013-02-01T00:00:00,244.1010481,2,1,Can Tho,2013,1,1
2013-03-01T00:00:00,419.2096519,3,1,Can Tho,2013,1,1
2013-04-01T00:00:00,615.1345756,4,2,Can Tho,2013,1,1
2013-05-01T00:00:00,552.0318066,5,2,Can Tho,2013,1,1
2013-06-01T00:00:00,447.652078,6,2,Can Tho,2013,1,1
2013-07-01T00:00:00,204.2600932,7,3,Can Tho,2013,1,1
2013-08-01T00:00:00,,8,3,Can Tho,2013,1,1
2013-09-01T00:00:00,436.9440204,9,3,Can Tho,2013,1,1
2013-10-01T00:00:00,474.0218436,10,4,Can Tho,2013,1,1
2013-11-01T00:00:00,469.5240216,11,4,Can Tho,2013,1,1
2013-12-01T00:00:00,468.9347826,12,4,Can Tho,2013,1,1
2014-01-01T00:00:00,445.8971513,1,1,Can Tho,2014,1,1
2014-02-01T00:00:00,505.2399067,2,1,Can Tho,2014,1,1
2014-03-01T00:00:00,396.5367819,3,1,Can Tho,2014,1,1
2014-04-01T00:00:00,381.0499246,4,2,Can Tho,2014,1,1
2014-05-01T00:00:00,340.5572519,5,2,Can Tho,2014,1,1
2014-06-01T00:00:00,374,6,2,Can Tho,2014,1,1
2014-07-01T00:00:00,322.1890269,7,3,Can Tho,2014,1,1
2014-08-01T00:00:00,441.1624258,8,3,Can Tho,2014,1,1
2014-09-01T00:00:00,448.0086332,9,3,Can Tho,2014,1,1
2014-10-01T00:00:00,598.0849418,10,4,Can Tho,2014,1,1
2014-11-01T00:00:00,443.4972434,11,4,Can Tho,2014,1,1
2014-12-01T00:00:00,208.7348237,12,4,Can Tho,2014,1,1
2015-01-01T00:00:00,450.1518212,1,1,Can Tho,2015,1,1
2015-02-01T00:00:00,333.5746074,2,1,Can Tho,2015,1,1
2015-03-01T00:00:00,647.847722,3,1,Can Tho,2015,1,1
2015-04-01T00:00:00,528.4811887,4,2,Can Tho,2015,1,1
2015-05-01T00:00:00,308.0445359,5,2,Can Tho,2015,1,1
2015-06-01T00:00:00,466.6019508,6,2,Can Tho,2015,1,1
2015-07-01T00:00:00,509.1583969,7,3,Can Tho,2015,1,1
2015-08-01T00:00:00,295.3416149,8,3,Can Tho,2015,1,1
2015-09-01T00:00:00,644.257649,9,3,Can Tho,2015,1,1
2015-10-01T00:00:00,398.171374,10,4,Can Tho,2015,1,1
2015-11-01T00:00:00,374.0495981,11,4,Can Tho,2015,1,1
2015-12-01T00:00:00,277.0151543,12,4,Can Tho,2015,1,1
2016-01-01T00:00:00,353.8281253,1,1,Can Tho,2016,1,1
2016-02-01T00:00:00,513.3286361,2,1,Can Tho,2016,1,1
2016-03-01T00:00:00,524.7851404,3,1,Can Tho,2016,1,1
2016-04-01T00:00:00,516.8409201,4,2,Can Tho,2016,1,1
2016-05-01T00:00:00,386.0330789,5,2,Can Tho,2016,1,1
2016-06-01T00:00:00,427.399173,6,2,Can Tho,2016,1,1
2016-07-01T00:00:00,372.1180124,7,3,Can Tho,2016,1,1
2016-08-01T00:00:00,570.5,8,3,Can Tho,2016,1,1
2016-09-01T00:00:00,88.5,9,3,Can Tho,2016,1,1
2016-10-01T00:00:00,502.039666,10,4,Can Tho,2016,1,1
2016-11-01T00:00:00,423.7608142,11,4,Can Tho,2016,1,1
2016-12-01T00:00:00,398.9043825,12,4,Can Tho,2016,1,1
2017-01-01T00:00:00,366.1466376,1,1,Can Tho,2017,1,1
2017-02-01T00:00:00,380.148855,2,1,Can Tho,2017,1,1
2017-03-01T00:00:00,525.6126863,3,1,Can Tho,2017,1,1
2017-04-01T00:00:00,463.5321288,4,2,Can Tho,2017,1,1
2017-05-01T00:00:00,,5,2,Can Tho,2017,1,1
2017-06-01T00:00:00,259.0139442,6,2,Can Tho,2017,1,1
2017-07-01T00:00:00,409.8099839,7,3,Can Tho,2017,1,1
2017-08-01T00:00:00,352.812709,8,3,Can Tho,2017,1,1
2017-09-01T00:00:00,533.6999463,9,3,Can Tho,2017,1,1
2017-10-01T00:00:00,369.5453473,10,4,Can Tho,2017,1,1
2017-11-01T00:00:00,281.0717131,11,4,Can Tho,2017,1,1
2017-12-01T00:00:00,368.076557,12,4,Can Tho,2017,1,1
2018-01-01T00:00:00,311.9906832,1,1,Can Tho,2018,1,1
2018-02-01T00:00:00,459.0619804,2,1,Can Tho,2018,1,1
2018-03-01T00:00:00,465.1703071,3,1,Can Tho,2018,1,1
2018-04-01T00:00:00,359.6977226,4,2,Can Tho,2018,1,1
2018-05-01T00:00:00,471.1480996,5,2,Can Tho,2018,1,1
2018-06-01T00:00:00,779.5,6,2,Can Tho,2018,1,1
2018-07-01T00:00:00,729.8580376,7,3,Can Tho,2018,1,1
2018-08-01T00:00:00,472.756307,8,3,Can Tho,2018,1,1
2018-09-01T00:00:00,416.8675676,9,3,Can Tho,2018,1,1
2018-10-01T00:00:00,531.3649068,10,4,Can Tho,2018,1,1
2018-11-01T00:00:00,491.728328,11,4,Can Tho,2018,1,1
2018-12-01T00:00:00,412.8587635,12,4,Can Tho,2018,1,1
2019-01-01T00:00:00,371.6357843,1,1,Can Tho,2019,1,1
2019-02-01T00:00:00,377.4554132,2,1,Can Tho,2019,1,1
2019-03-01T00:00:00,472.8982838,3,1,Can Tho,2019,1,1
2019-04-01T00:00:00,292.7589059,4,2,Can Tho,2019,1,1
2019-05-01T00:00:00,491.0799406,5,2,Can Tho,2019,1,1
